promiseId,party,topic,promiseTitle,status,explain,isNCPO,refPicture,picturesDrive,vdo,nameLink1,urlLink1,nameLink2,urlLink2,nameLink3,urlLink3,nameLink4,urlLink4
1,พลังไทยรักไทย,economics,1 จังหวัด 1 แหล่งท่องเที่ยว,nodata,ซึ่งไม่พบข้อมูล 1 จังหวัด 1 แหล่งท่องเที่ยว แต่พบว่ามีข่าวรวบรวมแหล่งท่องเที่ยวยอดฮิตของ 77 จังหวัด,FALSE,พลังไทยรักไทย_2,https://drive.google.com/drive/folders/1snFv2joUHj4hSNrGeBpCvYl6AKq6JJIB?usp=sharing,-,นโยบายพรรพลังไทยรักไทย - line today,https://today.line.me/th/v2/article/YWmgPL?imageSlideIndex=34,ไฮไลต์ 77 จังหวัดและสถานที่ท่องเที่ยว - ไทยรัฐ,https://www.thairath.co.th/lifestyle/travel/thaitravel/1917685,,,,
2,พลังไทยรักไทย,equality,1 ตำบล 1 ทุน ทุนการศึกษาจบปริญญาตรีฟรี มีงานทำ,nodata,ซึ่งไม่พบข้อมูล1 ตำบล 1 ทุน ทุนการศึกษาจบปริญญาตรีฟรี มีงานทำ ในปัจุบันปีพ.ศ. 2564 รัฐบาลมีนโยบายลดค่าเทอมเนื่องจากสถานการณ์แพร่ระบาดของโรคโควิด - 19,FALSE,พลังไทยรักไทย_2,https://drive.google.com/drive/folders/1snFv2joUHj4hSNrGeBpCvYl6AKq6JJIB?usp=sharing,-,นโยบายพรรพลังไทยรักไทย - line today,https://today.line.me/th/v2/article/YWmgPL?imageSlideIndex=34,"อว. เดินหน้าโครงการ ""อว. ลดค่าเทอม"" - กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม",https://www.mhesi.go.th/index.php/news-and-announce-all/news-all/executive-ps-news/4327-2021-08-30-05-34-05.html,,,,
3,พลังไทยรักไทย,economics,1 ตำบล 1 ธนาคาร,nodata,ซึ่งไม่พบข้อมูล  1 ตำบล 1 ธนาคาร,FALSE,พลังไทยรักไทย_2,https://drive.google.com/drive/folders/1snFv2joUHj4hSNrGeBpCvYl6AKq6JJIB?usp=sharing,-,นโยบายพรรพลังไทยรักไทย - line today,https://today.line.me/th/v2/article/YWmgPL?imageSlideIndex=34,,,,,,
4,พลังไทยรักไทย,equality,30 บาทรักษาทุกโรคได้จริง,nodata,"ซึ่งไม่พบข้อมูลเกี่ยวกับ 30 บาทรักษาทุกโรคได้จริง

โดย 30 บาทรักษาทุกโรคเป็นนโยบายของพรรคไทยรักไทยตั้งแต่สมัยอดีตนายกทักษิณ ชินวัตร ในวันที่ 1 เมษายน พ.ศ. 2544 และถูกนำไปประกาศใช้ พ.ร.บ. หลักประกันสุขภาพแห่งชาติ พ.ศ. 2545 ตั้งสำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) เป็นตัวแทนบริการจัดการโครงการนี้ ซึ่งปัจุบันนายอนุทิน รัฐมนตรีว่าการกระทรวงสาธารณสุข ได้เปลี่ยนจาก 30 บาทรักษาทุกโรค มาเป็น 30 บาทรักษาทุกที่ (บัตรทอง 30 บาท) เน้น 4 บริการ ซึ่งนำร่องบางพื้นที่ปีพ.ศ. 2564 ปีพ.ศ.2565 จะเริ่มขยายให้ครอบคลุม เลยไม่พบข้อมูลจากฝั่งพรรพลังปวงชนไทยถึงการดำเนินการ 30 บาทรักษาทั่วไทย",FALSE,พลังไทยรักไทย_2,https://drive.google.com/drive/folders/1snFv2joUHj4hSNrGeBpCvYl6AKq6JJIB?usp=sharing,-,นโยบายพรรพลังไทยรักไทย - line today,https://today.line.me/th/v2/article/YWmgPL?imageSlideIndex=34,จุดเริ่มต้นของโครงการ 30 บาทรักษาทุกโรค,https://www.nhso.go.th/page/history,สปสช. เห็นชอบให้มีการ “ยกระดับระบบหลักประกันสุขภาพแห่งชาติ” หรือ “บัตรทอง”,https://www.nhso.go.th/news/3368,นายศุภชัย ใจสมุทร ส.ส.บัญชีรายชื่อและนายทะเบียนพรรคภูมิใจไทย - โพสต์เฟซบุ๊กส่วนตัว,https://www.facebook.com/suphachai.jaismut/posts/4999293083438227
5,พลังปวงชนไทย,equality,30 รักษาทั่วไทย,nodata,30 บาทรักษาทุกโรคเป็นนโยบายของพรรคไทยรักไทยตั้งแต่สมัยอดีตนายกทักษิณ ชินวัตร ในวันที่ 1 เมษายน พ.ศ. 2544 และถูกนำไปประกาศใช้ พ.ร.บ. หลักประกันสุขภาพแห่งชาติ พ.ศ. 2545 ตั้งสำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) เป็นตัวแทนบริการจัดการโครงการนี้ ซึ่งปัจุบันนายอนุทิน รัฐมนตรีว่าการกระทรวงสาธารณสุข ได้เปลี่ยนจาก 30 บาทรักษาทุกโรค มาเป็น 30 บาทรักษาทุกที่ (บัตรทอง 30 บาท) เน้น 4 บริการ ซึ่งนำร่องบางพื้นที่ปีพ.ศ. 2564 ปีพ.ศ.2565 จะเริ่มขยายให้ครอบคลุม เลยไม่พบข้อมูลจากฝั่งพรรพลังปวงชนไทยถึงการดำเนินการ 30 บาทรักษาทั่วไทย,FALSE,พลังปวงชนไทย_1,https://drive.google.com/drive/folders/1snFv2joUHj4hSNrGeBpCvYl6AKq6JJIB?usp=sharing,-,จุดเริ่มต้นของโครงการ 30 บาทรักษาทุกโรค,https://www.nhso.go.th/page/history,สปสช. เห็นชอบให้มีการ “ยกระดับระบบหลักประกันสุขภาพแห่งชาติ” หรือ “บัตรทอง”,https://www.nhso.go.th/news/3368,นายศุภชัย ใจสมุทร ส.ส.บัญชีรายชื่อและนายทะเบียนพรรคภูมิใจไทย โพสต์เฟซบุ๊กส่วนตัว,https://www.facebook.com/suphachai.jaismut/posts/4999293083438227,,
6,ประชาภิวัฒน์,equality,"LGBT สิทธิต้องเท่าเทียม

",proposed,"เป็นนโยบายมุ่งเน้นสิทธิเท่าเทียมของ LGBT 

เรื่อง LGBT ที่เห็นเป็นรูปธรรม คือ ร่างพ.ร.บ. สมรสเท่าเทียม 4 ฉบับ ได้แก่ 1. ร่าง พ.ร.บ.แก้ไขเพิ่มเติมประมวลกฎหมายแพ่งและพาณิชย์ (ฉบับที่....) พ.ศ.... (พ.ร.บ.สมรสเท่าเทียม) เสนอโดย ธัญวัจน์ กมลวงศ์วัฒน์ ส.ส.บัญชีรายชื่อ พรรคก้าวไกล/อนาคตใหม่กับคณะ และอีกฉบับที่เสนอโดยคณะรัฐมนตรี (ครม.) 
2. ร่าง พ.ร.บ.คู่ชีวิต พ.ศ.... ถูกเสนอโดย อิสระ เสรีวัฒนวุฒิ ส.ส.บัญชีรายชื่อ พรรคประชาธิปัตย์และคณะ กับอีกฉบับเสนอโดยครม. ได้รับการพิจารณาจากสภา ซึ่งผ่านการลงมติรับหลักการด้วยเสียงข้างมาก 

มีนายสมเกียรติ ศรลัมพ์ เป็นหนึ่งในค.ร.ม. ผู้ช่วยรัฐมนตรีประจำนายกรัฐมนตรี ",FALSE,ประชาภิวัฒน์_1,https://drive.google.com/drive/folders/1snFv2joUHj4hSNrGeBpCvYl6AKq6JJIB?usp=sharing,-,พรรคประชาภิวัฒน์ - เพจเฟสบุ๊คพรรคประชาภิวัฒน์,https://www.facebook.com/love.at.first.sight.prachapiwat/posts/2059625547486014/,"สมรสเท่าเทียม ผ่านด่าน ""รับหลักการ"" - กรุงเทพธุรกิจ",https://www.bangkokbiznews.com/politics/1010170,,,,
7,ประชาภิวัฒน์,equality,"Single mom 10,000 บาทต่อเดือน",nodata,"เป็นนโยบายพรรคที่เชื่อว่า ""เบี้ย Single Mom 10,000 บาทต่อเดือน"" จะเปลี่ยนภาระที่หนักของแม่เลี้ยงเดียวให้กลายเป็นรอยยิ้มและเวลาแห่งความสุขกับครอบครัว

ซึ่งไม่พบความเคลื่อนไหวในการดำเนินการ",FALSE,ประชาภิวัฒน์_1,https://drive.google.com/drive/folders/1snFv2joUHj4hSNrGeBpCvYl6AKq6JJIB?usp=sharing,https://www.facebook.com/love.at.first.sight.prachapiwat/videos/2324296977582092/,พรรคประชาภิวัฒน์ - เพจเฟสบุ๊คพรรคประชาภิวัฒน์,https://www.facebook.com/love.at.first.sight.prachapiwat/posts/2059625547486014/,,,,,,
8,เศรษฐกิจใหม่,economics,Street food จัดระเบียบและหาสถานที่ทดแทนให้ร้านค้า,nodata,"Street Food เป็นเสน่ห์ของกรุงเทพฯ ที่ดึงดูดนักท่องเที่ยว เป็นนโยบายจะจัดระเบียบและหาสถานที่ทดแทนให้ร้านค้า 800,000 เจ้า และจะทำให้คนไทยกว่า 4,000,000 คนมีรายได้และอาชีพ

ซึ่งไม่ความเคลื่อนไหวในการดำเนินการ",FALSE,เศรษฐกิจใหม่_3,https://drive.google.com/drive/folders/1snFv2joUHj4hSNrGeBpCvYl6AKq6JJIB?usp=sharing,,หาพื้นที่ทดแทนร้านค้าริมทาง - MGRonline,https://mgronline.com/politics/detail/9620000016460,พรรคเศรษฐกิจใหม่ - Twitter,https://twitter.com/NewEconomicsTH/status/1106479821662486529/photo/1,,,,
9,ภูมิใจไทย,equality,Work@home ทำงานที่ไหนก็ได้ เงินเดือนเท่าเดิม,nodata,"เป็นหนึ่งแนวทางจากนโยบาย “กรุงเทพ สะดวก สบาย”  ของพรรคที่จะแก้ปัญหาการจราจร และปัญหามลภาวะในอากาศในเมือง โดยให้ไปทำงานที่ออฟฟิศ สัปดาห์ละ 4 วัน ส่วนอีก 1 วันทำงานผ่านระบบออนไลน์ ที่บ้านหรือที่ไหนก็ได้ เพื่อลดการเดินทางของคนทำงาน ซึ่งพรรคเสนอให้ใช้มาตรการนี้ กับหน่วยงานของรัฐ ที่มีที่ตั้งสำนักงานในกรุงเทพมหานครทุกหน่วยงาน และ สนับสนุนให้ภาคเอกชนที่มีความพร้อมเข้าร่วมด้วย

ไม่พบความเคลื่อนไหวในการดำเนินการ แต่เนื่องด้วนสถานการณโรคโควิด - 19 เกิดขึ้นเพื่อลดการแพร่ระบาดทำให้หลายบริษัทให้พนักงานทำงานอยู่บ้าน (Work frome Home)",FALSE,ภูมิใจไทย_5,https://drive.google.com/drive/folders/1snFv2joUHj4hSNrGeBpCvYl6AKq6JJIB?usp=sharing,-,ทำงาน 4 วัน ลดค่าฝุ่นพิษ - ไทยรัฐ,https://www.thairath.co.th/news/politic/1488069,นโยบายเรียน-ทำงาน 4 วัน - ไทยโพสต์,https://www.thaipost.net/main/detail/27849,ภท.'มั่นใจ'เรียนออนไลน์-ทำงานที่บ้าน'ช่วยแก้วิกฤตโควิด-19 ได้  -  ไทยโพสต์,https://www.thaipost.net/main/detail/60506,,
11,ก้าวไกล/อนาคตใหม่,administration,กระจายรายได้ส่วนกลางต่อท้องถิ่น,proposed,"เป็นนโยบายสานต่ออุดมการณ์พรรคอนาคตใหม่ ในการจะผลักดันที่จะแก้ไขเปลี่ยนแปลง ยุติระบบรัฐราชการรวมศูนย์และกระจายอำนาจ กระจายงาน กระจายเงิน และกระจายคน  โดยการจัดการกฎหมายของ คสช. ที่ขัดขวางการกระจายอำนาจ จะสถาปนาหลักการกระจายอำนาจเข้าไปไว้ในรัฐธรรมนูญ ยกเลิกกฎหมายซ้ำซ้อนระหว่างภูมิภาคและท้องถิ่น ยกระดับบางพื้นที่เป็นอปท.รูปแบบพิเศษ แบ่งรายได้ส่วนกลางและท้องถิ่นเป็น 50:50 และจัดการเรื่องการกำกับดูแล

เพราะเมื่อวันที่ 11 ธันวาคม พ.ศ. 2562 กกต.มีมติ 5 ต่อ 2 ยื่นคำร้องต่อศาลรธน.สั่งยุบพรรคอนาคตใหม่ กรณีให้พรรคกู้ยืมเงิน ซึ่งวันที่ 21 กุมภาพันธ์ พ.ศ. 2563 ศาลรธน.นัดอ่านคำวินิจฉัยยุบพรรคอนาคตใหม่ และเมื่อวันที่ 18 มีนาคม พ.ศ 2563 คำสั่งศาลรธน.มีคำวินิจฉัยให้ยุบพรรคอนาคตใหม่ ประกาศในราชกิจจานุเบกษา หลังจากถูกยุบส.ส. คนอื่นๆ ย้ายไปสังกัดพรรคก้าวไกล/อนาคตใหม่

ซึ่งพบการคัดค้านกฎหมายที่เป็นการรวมศูนย์อำนาจหรือเพิ่มอำนาจของผู้กำกับดูแลท้องถิ่น คือ ร่างพระราชบัญญัติ (พ.ร.บ.) ถอดถอนผู้บริหารท้องถิ่นและสมาชิกสภาท้องถิ่น 

และเมื่อสภาเปิดอภิปรายสรุปวาระงบประมาณรายจ่าย ปี 2566 นายวรภพ วิริยะโรจน์ พรรคก้าวไกล/อนาคตใหม่ได้อภิปรายให้โอนงบประมาณของกรมทางหลวงชนบท 47,160ล้านบาท ให้ท้องถิ่นแทน เพราะถนนของท้องถิ่นประชาชนใช้เดินทางบ่อยที่สุด พร้อมต้องภารกิจกระจายไปสู่ท้องถิ่นไปพร้อมๆกัน อีกทั้งย้ำเพิ่มว่าสัดส่วนของรายได้ท้องถิ่นต่อรัฐบาลส่วนกลางเป็น 50 : 50  ",FALSE,ก้าวไกล/อนาคตใหม่_9,https://drive.google.com/drive/folders/1snFv2joUHj4hSNrGeBpCvYl6AKq6JJIB?usp=sharing,-,เว็บไซต์พรรคก้าวไกล/อนาคตใหม่,https://www.moveforwardparty.org/about/,‘ก้าวไกล/อนาคตใหม่’ค้านร่างกฎหมายเพิ่มอำนาจ - แนวหน้า,https://www.naewna.com/politic/616495?fbclid=IwAR0PVnrIYbetnBU2Esi1DP2tHmMArUO1jKCNfwL7UyD5ZkJqnb_zWvxPw5w,เสนอ ‘งบแบบก้าวไกล/อนาคตใหม่’ ไม่รับหลักการ ‘งบช้างป่วย’ แบบ ‘ประยุทธ์’ - เว็บไซต์พรรคก้าวไกล/อนาคตใหม่,https://www.moveforwardparty.org/news/parliament/2023-budget-part-1/13311/,คำวินิจฉัยของศาลรธน. (ยุบพรรคอนาคตใหม่) - ราชกิจจานุเบกษา,http://www.ratchakitcha.soc.go.th/DATA/PDF/2563/A/021/T_0023.PDF
