data,label_clusters
แก้ปัญหายาเสพติด,0
"ขยายโรงเรียนประชารัฐร่วมพัฒนา 1,000 แห่ง ใน 4 ปี",0
โครงการบ้านล้านหลังประชารัฐ,0
ชนเผ่าเข้าสภา,0
นโยบายทลายกำแพงใจ,0
นโยบายราคาพืชผลทางการเกษตร,0
นำกระทรวงศึกษาธิการออกจากการเมือง,0
ปลดหนี้เกษตรกรที่เข้าร่วมโครงการส่งเสริมจากรัฐ,0
มารดาประชารัฐ,0
หยุดประชานิยมสู่สังคมรัฐสวัสดิการ,0
การค้าออนไลน์อาชีพสงวนคนไทย,1
การปฏิรูปพลังงาน,1
แก้ไขปัญหาน้ำทั้งระบบ สินค้าเกษตรให้ขายได้ราคาสูงสุด แก้ไขปัญหาราคายาง,1
แก้ปัญหาเศรษฐกิจชาวบ้าน,1
เชื่อมโยงการจัดการน้ำ 4 ภูมิภาค โดยผันน้ำจากแม่น้ำโขง,1
ปรับปรุงนโยบาย 30 บาท รักษาทุกโรคให้ดีขึ้น และให้ทุกคนมีหมอประจำตัวผ่าน app,1
ผลักดันการเก็บภาษีที่ดินให้มีประสิทธิภาพ,1
พลังแผ่นดินปลอดยาเสพติด,1
พัฒนาสิทธิประโยชน์ 3 กองทุน ให้มีมาตรฐาน,1
มีอาชีพเสริมเพิ่มรายได้จากอาชีพหลักพร้อมจัดหาการตลาดให้อันนำไปสู่การลดภาระหนี้สิน,1
ยกระดับ รพ.สต. ให้มีศักยภาพสูงสุด โดยสนับสนุนให้มีแพทย์พยาบาลประจำ,1
รถไฟรางคู่ ให้ทั่วถึงทั้ง 4 ภาค,1
เร่งโครงการรถไฟทางคู่-มอเตอร์เวย์,1
สร้างมิติใหม่ของพรรคการเมือง แบบปราศจากการให้อามิสสินจ้าง,1
สร้างศูนย์สุขภาพชุมชนเขตเมืองทั้ง 4 มุมเมือง ทุกจังหวัด,1
สวัสดิการประชาชนเกิดจากการใช้จ่าย มีรายได้คืน,1
เสริมให้ทุกหลังคาเรือนมี Solar Rooftop เพื่อมีไฟฟ้าใช้เอง,1
หยุดปัญหายาเสพติด ขจัดผู้มีอิทธิพลให้สิ้นซาก,1
ให้ทุกจังหวัดมีการจัดตั้งอุทยานการเรียนรู้แบบ TK Park,1
ให้มีการขยายมอเตอร์เวย์ ให้ทั่วถึงทั้ง 4 ภาค,1
ให้มีผู้ทำหน้าที่บริบาลผู้สูงอายุอย่างทั่วถึงทุกชุมชน,1
อีสานเขียวภาค 2 เมกะโปรเจค,1
ใช้เทคโนโลยีเพิ่มมูลค่าสินค้าเกษตร,2
ต่อยอดบัตรสวัสดิการแห่งรัฐ,2
ตั้งกระทรวงศาสนา,2
ตั้งกองทุนยกระดับราคาสินค้าการเกษตร โดยประชาชนทำหน้าที่แทนรัฐ,2
ตั้งกองทุนแห่งรัฐพัฒนาประเทศ ตั้งบรรษัท เกษตรแห่งชาติจำกัด (มหาชน),2
ทำกองทุนสนับสนุนสมาร์ทไอเดีย,2
ทำเกษตรอินทรีย์ทั้งประเทศ,2
เลิกตั้งเป็นบอร์ดรัฐวิสาหกิจที่ไม่เกี่ยวกับความมั่นคง,2
ส่งเสริมผลผลิตทางการเกษตร ตั้งกองทุนเพื่อเป็นที่พึ่งของเกษตรกรรายย่อย,2
สปก. ไม่เพียงแค่ทำเกษตร,2
สร้างถนนอาหาร (Street Road),2
หยุดคอร์รัปชัน นำงบประมาณมาพัฒนาประเทศ,2
ให้ลูกหลานเกษตรกรเรียนฟรีถึงปริญญาตรี (หากทำงานเกษตรหลักเรียนจบ),2
30 บาทรักษาทุกโรคได้จริง,3
"Single mom 10,000 บาทต่อเดือน",3
Work@home ทำงานที่ไหนก็ได้ เงินเดือนเท่าเดิม,3
"ค่าตอบแทน อสม. เดือนละ 1,200 บาท",3
ค่าแรงขั้นต่ำ 400-425 บาทต่อวัน,3
"เงินช่วยเหลือผู้สูงวัย 2,000 บาทต่อเดือน",3
"เงินเดือนปริญญาตรี 20,000 บาท เงินเดือน อาชีวะ 18,000 บาท",3
ทำงาน 4 วันต่อสัปดาห์,3
"นำรถเก่าแลกรถไฟฟ้าได้ส่วนลด 100,000 บาท",3
"ประกันรายได้ข้าวหอมมะลิ ราคาไม่ต่ำกว่า 10,000 บาทต่อตัน",3
"ปรับฐานเงินเดือนกำนัน ผู้ใหญ่บ้าน ผู้ช่วยผู้ใหญ่บ้าน สารวัตรกำนัน เป็นขั้นต่ำ 10,000 บาทต่อเดือน",3
"ปริญญาตรี เงินเดือน 16,500 บาทต่อเดือน",3
"เพิ่มค่าตอบแทนให้ อสม.เป็นเดือนละ 2,000 บาท",3
เพิ่มเงินเดือนและสวัสดิการของทหารชั้นผู้น้อย,3
เพิ่มรายได้เกษตรกร กลุ่มมนุษย์เงินเดือน กลุ่มคนสูงอายุ ให้คนสูงอายุได้รับเงินสูงขึ้น,3
"มีเงินเดือนสนับสนุนเลี้ยงดูบุตร อายุ 0-6 ขวบ เดือนละ 1,200.-",3
"ยกสถานะ อสม. เป็นหมอประจำบ้าน ค่าตอบแทน 2,500-10,000 บาท และ หมอประจำหมู่บ้าน ค่าตอบแทน 5,000-10,000 บาท",3
"ไวยาวัจกร 9,000 บาทต่อเดือน",3
"อุดหนุนเงินเยาวชนอายุ 18-22 ปี เดือนละ 2,000 บาท",3
1 จังหวัด 1 แหล่งท่องเที่ยว,4
1 ตำบล 1 ทุน ทุนการศึกษาจบปริญญาตรีฟรี มีงานทำ,4
1 ตำบล 1 ธนาคาร,4
คนพิการต้องมีงานทำ,4
"งานผู้สูงอายุ 1,000,000 ตำแหน่ง",4
"จัดการสร้างเครือข่ายน้ำใต้ดิน 7,255 ตำบล",4
เด็กจบใหม่ยกเว้นภาษี 5 ปี,4
ตั้งกองทุนการศึกษาให้เรียนฟรีจนถึงมัธยมปลาย,4
ทลายทุนผูกขาด ดิวตี้ฟรี ธนาคาร เหล้าเบียร์,4
ทำธนาคารพัฒนารายได้ ทุกจังหวัด ให้คนจนเข้าถึงแหล่งทุน,4
ทำศูนย์เด็กเล็กคุณภาพดีทั่วประเทศ (อนุบาล-ม.3) อาหารเช้า-กลางวันฟรี มีคุณภาพ,4
"ทุนการศึกษาครูเทคโนโลยีทุกอำเภอ อำเภอละ 1,000,000 บาท",4
นโยบาย 1 ตำบล 1 นักศึกษาแพทย์,4
ปิดถนนเพื่อทำดอกไม้ ฟื้นฟูตลาดดอกไม้อยู่คู่กรุงเทพมหานคร,4
ยกระดับสถานีอนามัยให้เป็นโรงพยาบาลตำบลที่มีความทันสมัย,4
รถตู้โดยสารรับ-ส่งนักเรียน ตำบลละ 2 คัน,4
รักษาฟรีทุกโรค แบบมีคุณภาพ พร้อมรถตู้พยาบาลประจำตำบล ตำบลละ 1 คัน,4
เร่งรัดระบบโครงข่าย 5G ให้มีบริการทั่วประเทศ และเชื่อมต่อระบบ WIFI ให้มีบริการทั่วทุกตำบล ทุกพื้นที่,4
เรียนฟรีตั้งแต่เริ่มต้นจนถึงปริญญาตรี,4
เรียนฟรีออนไลน์ถึงระดับอุดมศึกษาตลอดชีวิต,4
กระจายรายได้ส่วนกลางต่อท้องถิ่น,5
"การจัดตั้งกองทุนสวัสดิการเพื่อเกษตรกร เริ่มต้นที่วงเงิน 20,000 ล้านบาท",5
